customer_id,age,region,income,join_date
109,31,ON,112856,2018-11-25
110,40,BC,57376,2020-08-19
111,77,QC,85554,2019-04-08
112,74,QC,44199,2020-08-03
113,79,QC,111412,2020-08-20
114,57,AB,80948,2022-05-04
115,38,ON,103781,2023-01-02
116,33,AB,102750,2021-11-06
117,62,QC,96262,2020-04-15
118,35,ON,76600,2022-06-02
119,64,QC,106898,2022-06-29
120,70,AB,92483,2018-06-18
121,41,AB,48297,2018-08-05
122,43,AB,60448,2019-01-13
123,42,QC,56172,2018-04-29
124,77,ON,72874,2018-07-09
125,77,ON,37657,2020-02-06
126,77,QC,114386,2019-01-05
127,62,ON,55425,2022-12-07
128,58,QC,56685,2018-05-29
129,46,ON,54578,2022-08-27
130,32,BC,58831,2019-10-14
131,62,BC,37906,2023-02-26
132,18,AB,91413,2022-02-20
133,42,BC,84028,2020-02-09
134,24,BC,37287,2019-01-09
135,26,BC,63660,2020-02-20
136,41,QC,105758,2022-09-13
137,18,BC,90504,2018-06-09
138,61,BC,89720,2018-12-17
139,25,AB,64701,2023-04-20
140,41,BC,113300,2021-08-04
141,28,BC,47674,2021-08-04
142,68,ON,113560,2020-06-10
143,34,AB,53874,2021-06-03
144,25,AB,73642,2019-06-07
145,52,AB,95160,2019-06-06
146,52,AB,47602,2020-02-22
147,50,AB,118801,2018-09-30
148,76,AB,55931,2020-07-24
149,22,QC,59192,2021-11-26
150,59,BC,76542,2018-07-02
151,56,AB,72520,2023-06-16
152,75,BC,94772,2022-08-16
153,58,BC,88762,2019-05-03
154,45,QC,80106,2023-01-25
155,24,AB,111121,2020-04-25
156,26,ON,55559,2018-05-04
157,25,QC,63742,2020-09-11
158,29,ON,99669,2022-07-08
159,51,BC,110199,2020-02-29
160,50,BC,51754,2019-02-18
161,65,QC,33972,2022-10-15
162,72,QC,100831,2021-04-10
163,40,ON,71873,2021-08-04
164,79,AB,39903,2021-12-29
165,41,ON,33020,2019-11-17
166,54,QC,71755,2018-04-23
167,52,ON,115956,2020-06-06
168,61,QC,116988,2023-04-25
169,57,ON,75648,2018-05-02
170,39,QC,39516,2022-04-17
171,44,QC,32396,2021-05-30
172,52,QC,114082,2022-07-13
173,18,AB,49129,2018-02-08
174,52,ON,31591,2019-05-12
175,54,ON,41303,2020-02-19
176,64,ON,60561,2021-06-10
177,31,QC,101719,2020-07-31
178,20,ON,116231,2022-04-03
179,18,ON,37314,2018-05-29
180,22,QC,49623,2021-11-21
181,43,BC,97675,2020-10-18
182,72,QC,95082,2019-10-23
183,31,ON,113624,2022-07-20
184,56,QC,63130,2023-04-12
185,44,BC,81756,2018-10-29
186,26,QC,56292,2021-10-15
187,32,ON,116206,2018-08-26
188,32,BC,99274,2019-10-09
189,43,AB,32469,2019-10-25
190,59,ON,83947,2018-08-24
191,77,BC,52534,2022-10-26
192,30,BC,93620,2018-07-22
193,68,AB,78874,2018-09-13
194,49,QC,79708,2019-08-21
195,56,QC,104553,2019-10-24
196,66,ON,98344,2018-08-23
197,69,AB,79138,2021-09-30
198,78,QC,84302,2019-06-18
199,49,AB,77638,2020-05-09
200,21,QC,108249,2022-12-26
201,47,BC,32719,2022-12-10
202,54,QC,52890,2022-01-29
203,40,AB,107236,2020-02-09
204,56,BC,66509,2019-06-25
205,62,BC,72534,2018-08-01
206,32,BC,48787,2019-04-08
207,60,AB,78845,2019-03-12
208,46,ON,87932,2018-10-10
209,53,ON,63062,2022-05-05
210,30,ON,105713,2022-06-19
211,49,AB,117263,2022-01-26
212,24,BC,90461,2021-12-01
213,76,ON,105418,2018-03-29
214,68,AB,96672,2020-12-03
215,39,ON,64832,2019-04-06
216,45,QC,61966,2018-10-05
217,19,ON,102545,2022-09-03
218,59,ON,42987,2019-02-25
219,62,BC,67311,2022-09-21
220,79,AB,61575,2021-10-08
221,74,BC,93852,2019-11-27
222,70,BC,31007,2019-05-30
223,23,BC,100981,2019-12-04
224,45,BC,106242,2022-07-12
225,45,BC,77517,2018-01-19
226,61,ON,59257,2018-01-23
227,61,BC,117272,2019-02-17
228,37,BC,72207,2020-11-19
229,47,AB,43281,2023-01-05
230,79,QC,91246,2018-04-18
231,28,ON,31435,2021-10-22
232,75,ON,56660,2021-07-28
233,72,ON,35084,2021-02-25
234,45,BC,112197,2021-06-06
235,42,BC,43507,2021-02-08
236,56,BC,102595,2018-05-16
237,79,AB,113807,2018-12-28
238,50,QC,75539,2021-04-24
239,18,BC,37491,2022-08-07
240,74,QC,80192,2022-05-27
241,44,AB,110395,2018-05-09
242,79,ON,93888,2023-03-15
243,74,BC,103609,2021-07-08
244,69,QC,39077,2019-05-30
245,30,QC,50953,2019-03-25
246,58,BC,106919,2023-04-08
247,20,ON,97889,2021-02-01
248,56,ON,53821,2022-02-15
249,23,ON,67567,2021-06-01
250,25,AB,54860,2023-01-30
251,44,QC,51195,2020-05-23
252,26,QC,107475,2023-03-05
253,79,QC,117266,2022-02-23
254,54,AB,51427,2019-04-18
255,50,QC,57083,2020-10-30
256,68,AB,117046,2021-11-29
257,59,ON,87372,2023-04-04
258,61,BC,74064,2018-10-29
259,41,QC,37813,2018-08-19
260,32,QC,61598,2022-10-21
261,76,ON,57082,2020-07-11
262,71,BC,59241,2020-12-25
263,49,AB,74569,2020-07-25
264,49,BC,41745,2018-04-22
265,41,ON,56029,2020-11-02
266,58,ON,43025,2021-11-17
267,69,BC,44288,2019-05-15
268,66,AB,119186,2020-07-20
269,79,AB,36540,2019-08-21
270,66,QC,111958,2018-08-22
271,75,AB,98878,2019-08-25
272,69,BC,71846,2018-11-10
273,29,ON,105932,2019-07-20
274,79,QC,47482,2020-11-01
275,56,QC,53411,2018-07-28
276,19,ON,80975,2023-06-21
277,20,AB,90545,2020-11-03
278,66,ON,108797,2022-07-15
279,54,AB,82307,2021-12-12
280,66,ON,33093,2021-12-31
281,73,BC,107258,2021-11-01
282,34,AB,52042,2020-11-09
283,76,BC,82930,2019-08-10
284,66,QC,74413,2023-04-20
285,19,ON,63756,2022-11-14
286,19,QC,83268,2022-10-25
287,45,QC,69214,2020-10-11
288,71,QC,111871,2020-12-29
289,40,QC,58602,2023-01-22
290,54,ON,83331,2021-05-19
291,49,QC,78901,2021-01-29
292,50,ON,93416,2019-11-29
293,18,ON,62196,2018-05-12
294,36,BC,35626,2022-07-05
295,79,AB,37424,2021-11-05
296,19,AB,42857,2021-03-01
297,70,ON,49982,2020-11-09
298,61,BC,106961,2023-04-14
299,43,ON,31980,2019-06-20
300,49,ON,78290,2020-10-10
301,23,ON,56431,2018-08-15
302,49,BC,114976,2021-03-23
303,72,AB,112711,2023-01-03
304,21,BC,56385,2022-11-01
305,72,QC,68158,2022-02-01
306,28,BC,53019,2020-04-01
307,73,BC,48639,2020-05-20
308,76,BC,115530,2019-02-09
309,34,BC,51563,2018-07-21
310,55,AB,69341,2018-02-07
311,41,QC,35776,2020-07-30
312,22,AB,66444,2022-12-01
313,69,AB,98916,2018-07-07
314,51,BC,38711,2020-12-16
315,23,ON,104318,2020-07-29
316,39,ON,112970,2020-11-09
317,28,AB,115553,2018-09-30
318,65,AB,60707,2021-02-16
319,33,BC,69110,2019-08-06
320,50,AB,91788,2019-05-31
321,26,BC,112879,2021-05-29
322,77,ON,68827,2019-06-10
323,76,ON,35655,2022-03-19
324,23,QC,74859,2022-10-18
325,33,ON,83625,2022-10-31
326,46,AB,82098,2018-12-02
327,20,ON,45251,2019-11-29
328,37,BC,30526,2020-12-14
329,77,ON,98760,2019-05-15
330,76,QC,77837,2020-06-18
331,53,ON,41536,2023-03-27
332,36,BC,58541,2020-02-05
333,43,BC,109083,2019-06-20
334,20,AB,81027,2018-06-11
335,36,ON,64531,2022-08-21
336,37,BC,38712,2019-08-17
337,49,QC,95455,2023-04-23
338,24,AB,104744,2018-06-08
339,69,QC,35109,2021-04-26
340,58,ON,79268,2018-03-01
341,50,ON,84615,2020-07-03
342,57,ON,112503,2023-01-15
343,56,AB,59759,2021-09-04
344,35,BC,115708,2023-03-17
345,57,AB,90112,2018-07-30
346,18,QC,56589,2019-02-10
347,28,AB,60015,2019-10-26
348,45,QC,59009,2021-02-06
349,74,AB,113309,2021-01-04
350,42,BC,92046,2019-06-26
351,67,QC,56143,2021-08-30
352,40,ON,36154,2020-09-24
353,48,ON,51804,2021-02-14
354,47,AB,71688,2020-07-15
355,59,ON,94288,2020-05-17
356,52,QC,81195,2022-09-24
357,24,ON,50581,2018-01-19
358,77,BC,82648,2019-03-08
359,33,BC,60087,2022-09-05
360,43,AB,79930,2020-01-10
361,65,QC,62981,2021-10-05
362,74,BC,99298,2018-07-02
363,69,BC,76167,2018-04-23
364,77,QC,105304,2021-04-21
365,66,ON,73408,2019-04-26
366,19,ON,69499,2021-03-15
367,18,AB,82269,2020-04-10
368,65,ON,68559,2022-07-10
369,79,QC,104319,2021-02-10
370,29,BC,78787,2020-02-02
371,22,ON,65488,2019-04-21
372,54,AB,104441,2020-02-02
373,49,ON,104663,2021-08-19
374,76,QC,52431,2020-08-28
375,72,AB,91681,2023-01-23
376,26,ON,93483,2020-10-16
377,58,AB,79153,2021-02-15
378,52,QC,36368,2023-01-11
379,36,BC,57424,2018-06-10
380,65,QC,75004,2019-02-05
381,33,QC,113869,2018-07-17
382,20,QC,118652,2021-07-07
383,37,QC,86985,2019-10-22
384,41,BC,80069,2022-11-11
385,71,BC,82326,2020-12-06
386,73,AB,111061,2019-02-03
387,50,ON,53398,2022-09-30
388,41,BC,80861,2022-05-02
389,69,BC,105897,2018-03-19
390,28,ON,111905,2018-05-04
391,66,BC,98577,2018-03-16
392,25,QC,95641,2023-03-10
393,53,QC,39078,2018-05-17
394,55,ON,55003,2019-08-25
395,57,AB,92768,2021-11-24
396,37,AB,81047,2020-04-16
397,79,ON,101626,2022-03-09
398,52,ON,87660,2019-05-15
399,65,QC,79786,2022-05-16
400,79,AB,31925,2018-05-18
401,42,BC,113976,2018-02-19
402,52,QC,56015,2022-11-30
403,42,ON,63320,2020-08-30
404,46,AB,94881,2022-07-01
405,35,BC,56289,2022-07-07
406,63,BC,33389,2023-03-01
407,35,QC,55683,2018-09-11
408,19,AB,43629,2022-07-12
409,71,AB,91550,2019-12-11
410,52,ON,54826,2023-02-16
411,33,AB,56630,2023-03-16
412,78,AB,76163,2019-07-17
413,58,QC,96435,2020-01-27
414,53,AB,41653,2023-04-23
415,50,BC,57961,2021-12-20
416,21,QC,111941,2019-07-01
417,50,QC,104137,2021-08-18
418,31,ON,63662,2020-07-10
419,38,AB,86446,2019-08-04
420,65,ON,51288,2021-10-04
421,37,BC,66877,2023-01-30
422,73,QC,45313,2023-05-11
423,25,QC,110885,2018-02-18
424,24,QC,102715,2020-07-05
425,20,BC,40326,2021-01-02
426,34,BC,31560,2019-12-05
427,50,ON,109148,2018-09-18
428,65,ON,113186,2018-12-22
429,29,ON,56745,2022-05-25
430,76,AB,61890,2022-06-14
431,68,QC,50022,2021-07-07
432,39,QC,82579,2019-09-30
433,72,ON,100316,2020-01-13
434,39,QC,113847,2021-08-11
435,63,ON,58380,2020-10-06
436,47,AB,32356,2020-07-19
437,55,AB,100326,2019-10-03
438,55,BC,119899,2020-03-02
439,62,AB,50049,2021-08-29
440,68,ON,105717,2019-09-04
441,71,AB,46082,2023-02-05
442,25,BC,30661,2020-03-19
443,44,QC,67412,2021-04-20
444,44,ON,32920,2019-11-17
445,51,QC,90315,2023-01-26
446,38,BC,109561,2021-10-19
447,47,BC,38946,2018-07-07
448,50,BC,75500,2022-05-12
449,45,QC,46309,2022-04-16
450,64,QC,85230,2022-06-08
451,50,QC,60027,2022-08-15
452,22,QC,102541,2020-09-11
453,77,BC,89321,2019-07-02
454,78,BC,30956,2019-12-26
455,65,ON,104131,2020-07-14
456,36,ON,77908,2021-12-02
457,21,QC,108339,2020-05-25
458,52,AB,55963,2019-09-10
459,66,AB,69443,2019-02-18
460,34,BC,69063,2021-09-27
461,61,BC,110818,2021-05-28
462,45,BC,34703,2020-06-21
463,47,ON,95128,2018-06-12
464,46,ON,102099,2023-05-29
465,63,BC,55849,2021-05-28
466,70,BC,61860,2018-09-27
467,23,BC,61585,2019-09-24
468,52,AB,52015,2020-06-24
469,77,ON,107539,2023-02-15
470,58,AB,73585,2021-11-24
471,54,AB,56958,2021-04-20
472,41,BC,56017,2022-06-30
473,46,BC,106707,2022-10-19
474,66,QC,75350,2018-07-24
475,63,QC,42201,2019-08-05
476,70,AB,59426,2022-04-29
477,48,ON,47778,2020-04-20
478,52,BC,75241,2023-01-11
479,77,BC,72229,2021-06-05
480,50,AB,116652,2022-09-16
481,69,QC,78364,2022-07-01
482,78,ON,114878,2019-08-19
483,38,QC,87056,2023-02-17
484,49,QC,57490,2018-09-07
485,40,QC,49975,2020-05-24
486,50,QC,56723,2022-01-04
487,20,BC,53279,2022-04-06
488,35,BC,108301,2018-07-15
489,42,QC,41561,2019-11-21
490,59,ON,96061,2023-05-07
491,48,AB,118397,2022-03-23
492,71,ON,79153,2020-12-29
493,75,ON,63142,2019-10-01
494,20,ON,56916,2021-11-23
495,57,QC,94324,2019-11-03
496,63,BC,74965,2022-11-19
497,41,ON,34648,2021-05-11
498,67,QC,65133,2021-03-17
499,49,ON,80677,2022-02-04
500,64,ON,100135,2022-08-06
501,39,QC,65046,2020-08-01
502,40,BC,77064,2018-07-18
503,19,BC,99350,2023-04-25
504,44,AB,75893,2021-12-20
505,59,QC,91272,2022-08-17
506,19,AB,97649,2019-05-07
507,43,AB,94674,2023-03-27
508,34,AB,43760,2020-06-14
509,57,BC,51927,2018-05-22
510,50,QC,116475,2021-08-29
511,26,AB,91367,2018-06-14
512,60,QC,42588,2018-11-10
513,71,QC,82233,2018-01-21
514,65,BC,74738,2021-01-10
515,56,AB,63397,2022-05-24
516,46,AB,112189,2021-02-28
517,59,QC,106367,2022-06-11
518,72,ON,101260,2022-10-20
519,43,BC,106619,2023-05-11
520,52,BC,49816,2020-09-10
521,67,BC,72240,2018-11-01
522,42,BC,36276,2023-04-23
523,41,AB,109530,2019-01-06
524,30,AB,53499,2023-02-24
525,77,ON,118576,2020-05-02
526,75,BC,112495,2019-01-19
527,24,BC,101635,2023-04-16
528,74,QC,115112,2019-03-21
529,53,AB,65946,2019-03-01
530,62,BC,85204,2018-06-10
531,37,ON,81886,2021-04-16
532,18,ON,101652,2019-09-21
533,25,AB,45563,2022-09-28
534,63,ON,39847,2020-06-13
535,33,ON,56155,2019-05-05
536,31,AB,109671,2020-10-13
537,29,BC,113310,2018-11-23
538,68,BC,97278,2019-08-21
539,40,ON,48309,2020-10-11
540,32,ON,30619,2018-10-16
541,45,BC,113194,2019-08-16
542,51,AB,80108,2022-08-15
543,19,ON,64707,2022-05-16
544,49,QC,50337,2019-07-27
545,40,AB,111537,2021-10-09
546,39,ON,96504,2018-01-28
547,68,ON,77614,2020-08-11
548,42,QC,30281,2018-02-12
549,75,QC,57420,2022-09-01
550,79,BC,110896,2019-02-27
551,78,AB,69030,2022-06-10
552,39,AB,31058,2018-06-26
553,75,BC,116213,2019-06-13
554,75,AB,106260,2022-06-22
555,39,AB,58404,2020-08-23
556,66,AB,59856,2022-02-26
557,69,AB,39200,2018-07-17
558,59,AB,94178,2019-09-02
559,23,QC,63997,2022-05-20
560,32,AB,55611,2020-04-21
561,71,QC,71235,2020-05-02
562,60,AB,65057,2022-03-21
563,77,BC,31239,2022-03-18
564,54,ON,95661,2018-01-22
565,50,QC,75272,2021-02-09
566,25,AB,119393,2020-12-16
567,70,BC,91212,2020-12-25
568,77,ON,45398,2020-04-21
569,61,QC,86503,2018-04-08
570,61,ON,36638,2021-03-13
571,22,BC,36570,2023-03-19
572,56,QC,98785,2019-03-11
573,21,ON,39110,2019-09-29
574,23,AB,109141,2022-08-30
575,62,QC,42115,2021-01-14
576,49,ON,69062,2019-08-11
577,69,BC,52911,2018-12-10
578,47,BC,62556,2023-05-14
579,64,QC,108131,2021-08-10
580,52,ON,31969,2023-06-03
581,72,QC,73753,2019-07-25
582,57,QC,112811,2022-08-01
583,69,ON,34470,2019-09-03
584,33,ON,40225,2022-09-24
585,30,AB,53196,2018-08-31
586,67,ON,43669,2023-01-29
587,77,BC,67380,2019-07-15
588,59,QC,78320,2020-08-17
589,47,QC,77414,2018-02-01
590,36,BC,45577,2019-01-26
591,34,ON,118009,2018-10-04
592,73,BC,85409,2019-06-16
593,36,BC,58625,2021-03-23
594,45,AB,111040,2019-01-18
595,75,BC,54089,2020-12-27
596,72,QC,66487,2023-03-17
597,43,BC,95838,2020-06-02
598,54,QC,80138,2018-08-02
599,43,QC,72823,2022-08-06
600,70,QC,67208,2019-01-11
601,79,ON,84061,2020-01-14
602,40,AB,60659,2018-08-01
603,26,QC,61890,2018-03-20
604,29,QC,109134,2022-10-16
605,70,ON,77055,2019-09-20
606,18,QC,49508,2019-08-27
607,75,BC,72287,2020-02-21
608,75,BC,108916,2023-05-01
609,18,AB,56984,2021-11-05
610,64,QC,38125,2020-09-27
611,51,ON,66059,2019-11-11
612,49,BC,99569,2018-02-27
613,79,ON,47087,2022-12-25
614,71,ON,35704,2020-11-15
615,65,BC,90576,2020-05-30
616,42,ON,103384,2019-03-23
617,57,BC,117128,2018-03-07
618,62,ON,102460,2023-04-29
619,70,BC,57208,2022-11-19
620,18,QC,115150,2021-07-01
621,33,AB,96024,2023-04-07
622,78,BC,69882,2023-06-15
623,56,BC,55923,2020-12-03
624,22,AB,59165,2021-01-25
625,39,BC,97203,2022-04-27
626,46,BC,34114,2020-10-08
627,72,ON,94965,2018-08-15
628,20,AB,66321,2020-02-13
629,29,QC,103297,2019-11-10
630,43,BC,55426,2021-12-30
631,33,AB,47772,2022-12-20
632,68,ON,33712,2019-08-24
633,54,QC,31367,2019-01-14
634,39,AB,81924,2021-04-16
635,74,QC,33726,2021-12-21
636,46,QC,119152,2023-04-23
637,31,QC,57723,2019-12-10
638,45,BC,39108,2018-11-03
639,22,BC,107714,2020-02-18
640,64,ON,65643,2019-05-19
641,66,ON,61324,2018-09-25
642,47,AB,113360,2022-05-29
643,63,ON,38927,2018-01-08
644,79,QC,52443,2023-04-28
645,69,QC,109973,2019-05-23
646,22,BC,93449,2019-04-21
647,29,QC,106743,2021-08-13
648,33,AB,90233,2018-06-13
649,43,QC,55537,2019-04-30
650,43,QC,107576,2022-06-09
651,65,AB,52612,2020-12-31
652,38,ON,36471,2019-07-21
653,56,ON,65631,2020-06-23
654,53,AB,61348,2019-07-13
655,50,BC,94732,2023-04-19
656,79,QC,31177,2023-05-22
657,47,AB,34760,2018-08-26
658,54,QC,62779,2021-02-01
659,40,BC,51636,2021-05-18
660,75,QC,111889,2019-07-08
661,27,AB,83551,2020-04-07
662,71,QC,41556,2019-04-13
663,22,ON,57598,2022-01-17
664,53,BC,41563,2021-07-15
665,51,BC,76819,2019-01-21
666,69,BC,103770,2020-02-14
667,48,AB,56966,2020-04-27
668,27,BC,111709,2019-01-22
669,75,ON,89889,2020-05-26
670,36,AB,56987,2018-09-16
671,75,ON,108714,2018-10-10
672,49,QC,88348,2022-07-08
673,18,QC,54596,2023-03-14
674,73,QC,63174,2018-02-09
675,22,QC,94106,2019-05-01
676,62,ON,99967,2020-07-17
677,21,AB,89182,2018-08-08
678,33,AB,117163,2021-02-26
679,41,BC,69310,2020-10-11
680,33,ON,86088,2020-10-20
681,72,QC,38906,2022-03-24
682,19,ON,66914,2019-09-05
683,66,BC,75379,2020-07-16
684,45,BC,108612,2023-03-31
685,49,ON,67650,2019-11-19
686,44,ON,76881,2022-07-01
687,37,ON,76413,2019-09-05
688,41,AB,36012,2018-09-17
689,29,QC,80115,2020-09-16
690,67,ON,37151,2020-08-23
691,52,ON,87716,2019-01-01
692,77,ON,66378,2022-11-17
693,50,BC,72652,2022-12-16
694,50,BC,102430,2019-06-28
695,78,AB,43467,2019-10-11
696,68,QC,61010,2022-03-28
697,60,AB,84691,2023-04-15
698,54,QC,94157,2020-03-24
699,29,BC,42289,2023-03-26
700,20,BC,74976,2020-11-05
701,18,BC,73596,2021-02-26
702,50,AB,53171,2019-07-29
703,57,ON,116365,2021-02-06
704,27,ON,74139,2023-03-26
705,60,BC,78713,2020-10-09
706,61,ON,59734,2022-04-06
707,46,ON,102588,2019-11-01
708,30,AB,93646,2018-09-26
709,29,QC,33654,2021-03-31
710,48,BC,119022,2021-07-07
711,63,BC,48743,2020-07-12
712,19,AB,78368,2021-01-30
713,78,AB,104172,2022-03-10
714,68,ON,36441,2022-10-25
715,67,BC,54611,2022-05-14
716,52,QC,42149,2018-09-04
717,40,AB,89189,2022-07-22
718,34,QC,51675,2022-12-24
719,43,QC,101031,2023-02-04
720,25,BC,72668,2022-04-10
721,46,BC,43673,2018-05-11
722,43,AB,106666,2018-12-19
723,27,BC,118204,2018-07-15
724,43,BC,110758,2022-12-22
725,79,BC,95429,2023-04-24
726,51,QC,53669,2020-07-18
727,68,AB,64068,2022-08-17
728,58,ON,118789,2021-11-06
729,24,QC,39435,2020-10-18
730,21,BC,82249,2019-10-07
731,75,QC,67384,2018-08-15
732,70,BC,111929,2019-12-02
733,67,BC,106153,2022-02-08
734,62,QC,105388,2022-02-09
735,28,AB,61401,2018-09-22
736,46,BC,101831,2021-10-27
737,73,AB,64084,2022-02-18
738,53,ON,85826,2021-12-28
739,42,BC,66451,2019-10-08
740,38,AB,37227,2018-07-30
741,78,AB,61910,2022-05-15
742,74,ON,66041,2023-05-18
743,53,AB,118920,2021-11-01
744,27,AB,95681,2021-11-19
745,54,ON,111571,2022-01-13
746,26,BC,95481,2020-07-31
747,41,AB,98576,2021-10-19
748,52,AB,94174,2023-03-15
749,66,AB,56160,2019-04-02
750,52,QC,47633,2019-12-26
751,65,ON,47014,2022-10-18
752,53,QC,110532,2021-06-03
753,35,ON,79104,2020-09-08
754,66,BC,71621,2021-02-28
755,56,BC,107231,2019-08-11
756,49,AB,98388,2019-04-21
757,41,ON,46014,2022-12-27
758,40,BC,63755,2020-09-12
759,79,ON,70390,2021-07-24
760,49,BC,53711,2018-06-05
761,54,QC,87993,2022-11-19
762,29,BC,104696,2021-05-26
763,66,QC,57213,2018-07-09
764,72,BC,87784,2021-12-11
765,30,AB,37421,2020-09-07
766,40,QC,116936,2022-08-26
767,42,BC,47727,2022-09-12
768,52,AB,34358,2019-06-30
769,58,QC,95108,2018-02-10
770,47,AB,62117,2018-11-03
771,34,ON,118700,2020-07-31
772,66,ON,61910,2018-12-04
773,79,QC,85754,2021-08-30
774,37,BC,92438,2021-01-03
775,65,QC,59371,2020-08-10
776,42,AB,81501,2018-10-06
777,39,BC,90946,2021-04-14
778,30,ON,68467,2020-06-14
779,76,BC,47625,2022-08-13
780,36,ON,63893,2018-09-30
781,66,BC,106329,2020-04-16
782,53,BC,61007,2019-09-12
783,29,BC,69532,2022-08-02
784,78,AB,84253,2020-05-11
785,58,AB,42323,2022-12-12
786,36,QC,103379,2023-02-26
787,29,QC,44210,2020-07-19
788,26,ON,46456,2018-10-16
789,24,AB,61367,2019-12-25
790,45,ON,84624,2020-06-11
791,31,QC,40106,2018-09-29
792,48,ON,98008,2023-05-08
793,69,QC,102240,2020-12-25
794,36,AB,94315,2019-04-28
795,75,BC,99249,2020-07-24
796,64,AB,100587,2018-09-05
797,33,ON,40756,2018-06-05
798,70,ON,98011,2020-12-06
799,22,AB,66378,2023-05-13
800,52,AB,34255,2019-03-30
801,29,QC,44484,2018-07-20
802,42,ON,86549,2022-08-11
803,69,ON,64503,2018-05-04
804,76,AB,103794,2018-01-01
805,38,BC,75113,2020-08-25
806,53,ON,104069,2022-11-18
807,70,BC,35249,2020-05-04
808,40,AB,49201,2019-10-02
809,33,AB,88576,2018-07-10
810,74,QC,39686,2022-05-22
811,56,ON,83363,2019-05-31
812,62,BC,30661,2019-03-18
813,70,QC,74843,2023-04-29
814,59,ON,90963,2023-01-13
815,75,QC,72828,2023-01-04
816,56,AB,78604,2018-05-23
817,31,ON,40526,2021-04-29
818,48,QC,98910,2019-06-17
819,75,QC,55592,2018-08-15
820,22,BC,58982,2021-08-29
821,52,QC,30207,2022-07-11
